21.4283 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
35.6844 	EXP 	Created probe = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='probe', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
35.6846 	EXP 	window1: mouseVisible = False
35.6892 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
35.6894 	EXP 	window1: mouseVisible = False
35.6928 	EXP 	Created line1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line1', opacity=1, ori=90.0, pos=array([-150.,    0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
35.6930 	EXP 	window1: mouseVisible = False
35.6963 	EXP 	Created line2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line2', opacity=1, ori=90.0, pos=array([-50.,   0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
35.6965 	EXP 	window1: mouseVisible = False
35.6995 	EXP 	Created line3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line3', opacity=1, ori=90.0, pos=array([50.,  0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
35.6997 	EXP 	window1: mouseVisible = False
35.7026 	EXP 	Created line4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line4', opacity=1, ori=90.0, pos=array([150.,   0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
35.7029 	EXP 	window1: mouseVisible = False
35.7065 	EXP 	Created probe = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='probe', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0174 	EXP 	Imported C:/Users/91982/Documents/moto seq.csv as conditions, 4 conditions, 2 params
0.0211 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'pos': -50, 'corr_resp': 'x', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0301 	EXP 	fixation: autoDraw = True
0.9996 	EXP 	line1: autoDraw = True
0.9996 	EXP 	line2: autoDraw = True
0.9996 	EXP 	line3: autoDraw = True
0.9996 	EXP 	line4: autoDraw = True
1.0332 	EXP 	fixation: autoDraw = False
2.0004 	INFO 	Keyboard events cleared
1.9997 	EXP 	probe: autoDraw = True
4.1667 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'pos': 150, 'corr_resp': 'v', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
4.1731 	DATA 	Keypress: x
4.1776 	EXP 	fixation: autoDraw = False
4.1776 	EXP 	line1: autoDraw = False
4.1776 	EXP 	line2: autoDraw = False
4.1776 	EXP 	line3: autoDraw = False
4.1776 	EXP 	line4: autoDraw = False
4.1776 	EXP 	probe: autoDraw = False
4.1776 	EXP 	fixation: autoDraw = True
5.1663 	EXP 	line1: autoDraw = True
5.1663 	EXP 	line2: autoDraw = True
5.1663 	EXP 	line3: autoDraw = True
5.1663 	EXP 	line4: autoDraw = True
5.1830 	EXP 	fixation: autoDraw = False
6.1669 	INFO 	Keyboard events cleared
6.1663 	EXP 	probe: autoDraw = True
7.8536 	DATA 	Keypress: v
7.8684 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'pos': 50, 'corr_resp': 'c', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
7.8826 	EXP 	fixation: autoDraw = False
7.8826 	EXP 	line1: autoDraw = False
7.8826 	EXP 	line2: autoDraw = False
7.8826 	EXP 	line3: autoDraw = False
7.8826 	EXP 	line4: autoDraw = False
7.8826 	EXP 	probe: autoDraw = False
7.8826 	EXP 	fixation: autoDraw = True
8.8820 	EXP 	fixation: autoDraw = False
8.8820 	EXP 	line1: autoDraw = True
8.8820 	EXP 	line2: autoDraw = True
8.8820 	EXP 	line3: autoDraw = True
8.8820 	EXP 	line4: autoDraw = True
9.8832 	INFO 	Keyboard events cleared
9.8826 	EXP 	probe: autoDraw = True
10.9587 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'pos': -150, 'corr_resp': 'z', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
10.9610 	DATA 	Keypress: c
10.9660 	EXP 	fixation: autoDraw = False
10.9660 	EXP 	line1: autoDraw = False
10.9660 	EXP 	line2: autoDraw = False
10.9660 	EXP 	line3: autoDraw = False
10.9660 	EXP 	line4: autoDraw = False
10.9660 	EXP 	probe: autoDraw = False
10.9660 	EXP 	fixation: autoDraw = True
11.9660 	EXP 	fixation: autoDraw = False
11.9660 	EXP 	line1: autoDraw = True
11.9660 	EXP 	line2: autoDraw = True
11.9660 	EXP 	line3: autoDraw = True
11.9660 	EXP 	line4: autoDraw = True
12.9664 	INFO 	Keyboard events cleared
12.9658 	EXP 	probe: autoDraw = True
13.7844 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'pos': -50, 'corr_resp': 'x', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
13.7870 	DATA 	Keypress: z
13.7991 	EXP 	fixation: autoDraw = False
13.7991 	EXP 	line1: autoDraw = False
13.7991 	EXP 	line2: autoDraw = False
13.7991 	EXP 	line3: autoDraw = False
13.7991 	EXP 	line4: autoDraw = False
13.7991 	EXP 	probe: autoDraw = False
13.7991 	EXP 	fixation: autoDraw = True
14.7991 	EXP 	fixation: autoDraw = False
14.7991 	EXP 	line1: autoDraw = True
14.7991 	EXP 	line2: autoDraw = True
14.7991 	EXP 	line3: autoDraw = True
14.7991 	EXP 	line4: autoDraw = True
15.7996 	INFO 	Keyboard events cleared
15.7990 	EXP 	probe: autoDraw = True
16.6180 	EXP 	New trial (rep=1, index=1): <Trial 5 (1 in rep 1) data={'pos': 150, 'corr_resp': 'v', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 1}>
16.6203 	DATA 	Keypress: x
16.6322 	EXP 	fixation: autoDraw = False
16.6322 	EXP 	line1: autoDraw = False
16.6322 	EXP 	line2: autoDraw = False
16.6322 	EXP 	line3: autoDraw = False
16.6322 	EXP 	line4: autoDraw = False
16.6322 	EXP 	probe: autoDraw = False
16.6322 	EXP 	fixation: autoDraw = True
17.6322 	EXP 	fixation: autoDraw = False
17.6322 	EXP 	line1: autoDraw = True
17.6322 	EXP 	line2: autoDraw = True
17.6322 	EXP 	line3: autoDraw = True
17.6322 	EXP 	line4: autoDraw = True
18.6378 	INFO 	Keyboard events cleared
18.6372 	EXP 	probe: autoDraw = True
19.5519 	EXP 	New trial (rep=1, index=2): <Trial 6 (2 in rep 1) data={'pos': 50, 'corr_resp': 'c', 'thisN': 6, 'thisTrialN': 2, 'thisRepN': 1}>
19.5544 	DATA 	Keypress: v
19.5657 	EXP 	fixation: autoDraw = False
19.5657 	EXP 	line1: autoDraw = False
19.5657 	EXP 	line2: autoDraw = False
19.5657 	EXP 	line3: autoDraw = False
19.5657 	EXP 	line4: autoDraw = False
19.5657 	EXP 	probe: autoDraw = False
19.5657 	EXP 	fixation: autoDraw = True
20.5655 	EXP 	fixation: autoDraw = False
20.5655 	EXP 	line1: autoDraw = True
20.5655 	EXP 	line2: autoDraw = True
20.5655 	EXP 	line3: autoDraw = True
20.5655 	EXP 	line4: autoDraw = True
21.6112 	INFO 	Keyboard events cleared
21.6104 	EXP 	probe: autoDraw = True
22.6079 	EXP 	New trial (rep=1, index=3): <Trial 7 (3 in rep 1) data={'pos': -150, 'corr_resp': 'z', 'thisN': 7, 'thisTrialN': 3, 'thisRepN': 1}>
22.6102 	DATA 	Keypress: c
22.6142 	EXP 	fixation: autoDraw = False
22.6142 	EXP 	line1: autoDraw = False
22.6142 	EXP 	line2: autoDraw = False
22.6142 	EXP 	line3: autoDraw = False
22.6142 	EXP 	line4: autoDraw = False
22.6142 	EXP 	probe: autoDraw = False
22.6142 	EXP 	fixation: autoDraw = True
23.6156 	EXP 	fixation: autoDraw = False
23.6156 	EXP 	line1: autoDraw = True
23.6156 	EXP 	line2: autoDraw = True
23.6156 	EXP 	line3: autoDraw = True
23.6156 	EXP 	line4: autoDraw = True
24.6160 	INFO 	Keyboard events cleared
24.6154 	EXP 	probe: autoDraw = True
26.4336 	EXP 	New trial (rep=2, index=0): <Trial 8 (0 in rep 2) data={'pos': -50, 'corr_resp': 'x', 'thisN': 8, 'thisTrialN': 0, 'thisRepN': 2}>
26.4366 	DATA 	Keypress: z
26.4486 	EXP 	fixation: autoDraw = False
26.4486 	EXP 	line1: autoDraw = False
26.4486 	EXP 	line2: autoDraw = False
26.4486 	EXP 	line3: autoDraw = False
26.4486 	EXP 	line4: autoDraw = False
26.4486 	EXP 	probe: autoDraw = False
26.4486 	EXP 	fixation: autoDraw = True
27.4491 	EXP 	fixation: autoDraw = False
27.4491 	EXP 	line1: autoDraw = True
27.4491 	EXP 	line2: autoDraw = True
27.4491 	EXP 	line3: autoDraw = True
27.4491 	EXP 	line4: autoDraw = True
28.4492 	INFO 	Keyboard events cleared
28.4484 	EXP 	probe: autoDraw = True
29.4502 	EXP 	New trial (rep=2, index=1): <Trial 9 (1 in rep 2) data={'pos': 150, 'corr_resp': 'v', 'thisN': 9, 'thisTrialN': 1, 'thisRepN': 2}>
29.4521 	DATA 	Keypress: x
29.4650 	EXP 	fixation: autoDraw = False
29.4650 	EXP 	line1: autoDraw = False
29.4650 	EXP 	line2: autoDraw = False
29.4650 	EXP 	line3: autoDraw = False
29.4650 	EXP 	line4: autoDraw = False
29.4650 	EXP 	probe: autoDraw = False
29.4650 	EXP 	fixation: autoDraw = True
30.4652 	EXP 	fixation: autoDraw = False
30.4652 	EXP 	line1: autoDraw = True
30.4652 	EXP 	line2: autoDraw = True
30.4652 	EXP 	line3: autoDraw = True
30.4652 	EXP 	line4: autoDraw = True
31.5192 	INFO 	Keyboard events cleared
31.5001 	EXP 	probe: autoDraw = True
32.4485 	DATA 	Keypress: v
32.4571 	EXP 	New trial (rep=2, index=2): <Trial 10 (2 in rep 2) data={'pos': 50, 'corr_resp': 'c', 'thisN': 10, 'thisTrialN': 2, 'thisRepN': 2}>
32.4645 	EXP 	fixation: autoDraw = False
32.4645 	EXP 	line1: autoDraw = False
32.4645 	EXP 	line2: autoDraw = False
32.4645 	EXP 	line3: autoDraw = False
32.4645 	EXP 	line4: autoDraw = False
32.4645 	EXP 	probe: autoDraw = False
32.4645 	EXP 	fixation: autoDraw = True
33.4650 	EXP 	fixation: autoDraw = False
33.4650 	EXP 	line1: autoDraw = True
33.4650 	EXP 	line2: autoDraw = True
33.4650 	EXP 	line3: autoDraw = True
33.4650 	EXP 	line4: autoDraw = True
34.4658 	INFO 	Keyboard events cleared
34.4648 	EXP 	probe: autoDraw = True
35.2506 	DATA 	Keypress: c
35.2670 	EXP 	New trial (rep=2, index=3): <Trial 11 (3 in rep 2) data={'pos': -150, 'corr_resp': 'z', 'thisN': 11, 'thisTrialN': 3, 'thisRepN': 2}>
35.2816 	EXP 	fixation: autoDraw = False
35.2816 	EXP 	line1: autoDraw = False
35.2816 	EXP 	line2: autoDraw = False
35.2816 	EXP 	line3: autoDraw = False
35.2816 	EXP 	line4: autoDraw = False
35.2816 	EXP 	probe: autoDraw = False
35.2816 	EXP 	fixation: autoDraw = True
36.2814 	EXP 	fixation: autoDraw = False
36.2814 	EXP 	line1: autoDraw = True
36.2814 	EXP 	line2: autoDraw = True
36.2814 	EXP 	line3: autoDraw = True
36.2814 	EXP 	line4: autoDraw = True
37.2821 	INFO 	Keyboard events cleared
37.2815 	EXP 	probe: autoDraw = True
37.9352 	DATA 	Keypress: z
37.9496 	EXP 	New trial (rep=3, index=0): <Trial 12 (0 in rep 3) data={'pos': -50, 'corr_resp': 'x', 'thisN': 12, 'thisTrialN': 0, 'thisRepN': 3}>
37.9649 	EXP 	fixation: autoDraw = False
37.9649 	EXP 	line1: autoDraw = False
37.9649 	EXP 	line2: autoDraw = False
37.9649 	EXP 	line3: autoDraw = False
37.9649 	EXP 	line4: autoDraw = False
37.9649 	EXP 	probe: autoDraw = False
37.9649 	EXP 	fixation: autoDraw = True
38.9646 	EXP 	fixation: autoDraw = False
38.9646 	EXP 	line1: autoDraw = True
38.9646 	EXP 	line2: autoDraw = True
38.9646 	EXP 	line3: autoDraw = True
38.9646 	EXP 	line4: autoDraw = True
39.9658 	INFO 	Keyboard events cleared
39.9649 	EXP 	probe: autoDraw = True
40.6831 	EXP 	New trial (rep=3, index=1): <Trial 13 (1 in rep 3) data={'pos': 150, 'corr_resp': 'v', 'thisN': 13, 'thisTrialN': 1, 'thisRepN': 3}>
40.6855 	DATA 	Keypress: x
40.6979 	EXP 	fixation: autoDraw = False
40.6979 	EXP 	line1: autoDraw = False
40.6979 	EXP 	line2: autoDraw = False
40.6979 	EXP 	line3: autoDraw = False
40.6979 	EXP 	line4: autoDraw = False
40.6979 	EXP 	probe: autoDraw = False
40.6979 	EXP 	fixation: autoDraw = True
41.6978 	EXP 	fixation: autoDraw = False
41.6978 	EXP 	line1: autoDraw = True
41.6978 	EXP 	line2: autoDraw = True
41.6978 	EXP 	line3: autoDraw = True
41.6978 	EXP 	line4: autoDraw = True
42.6985 	INFO 	Keyboard events cleared
42.6978 	EXP 	probe: autoDraw = True
43.8167 	EXP 	New trial (rep=3, index=2): <Trial 14 (2 in rep 3) data={'pos': 50, 'corr_resp': 'c', 'thisN': 14, 'thisTrialN': 2, 'thisRepN': 3}>
43.8190 	DATA 	Keypress: v
43.8311 	EXP 	fixation: autoDraw = False
43.8311 	EXP 	line1: autoDraw = False
43.8311 	EXP 	line2: autoDraw = False
43.8311 	EXP 	line3: autoDraw = False
43.8311 	EXP 	line4: autoDraw = False
43.8311 	EXP 	probe: autoDraw = False
43.8311 	EXP 	fixation: autoDraw = True
44.8310 	EXP 	fixation: autoDraw = False
44.8310 	EXP 	line1: autoDraw = True
44.8310 	EXP 	line2: autoDraw = True
44.8310 	EXP 	line3: autoDraw = True
44.8310 	EXP 	line4: autoDraw = True
45.8319 	INFO 	Keyboard events cleared
45.8313 	EXP 	probe: autoDraw = True
46.7162 	EXP 	New trial (rep=3, index=3): <Trial 15 (3 in rep 3) data={'pos': -150, 'corr_resp': 'z', 'thisN': 15, 'thisTrialN': 3, 'thisRepN': 3}>
46.7185 	DATA 	Keypress: c
46.7308 	EXP 	fixation: autoDraw = False
46.7308 	EXP 	line1: autoDraw = False
46.7308 	EXP 	line2: autoDraw = False
46.7308 	EXP 	line3: autoDraw = False
46.7308 	EXP 	line4: autoDraw = False
46.7308 	EXP 	probe: autoDraw = False
46.7308 	EXP 	fixation: autoDraw = True
47.7310 	EXP 	fixation: autoDraw = False
47.7310 	EXP 	line1: autoDraw = True
47.7310 	EXP 	line2: autoDraw = True
47.7310 	EXP 	line3: autoDraw = True
47.7310 	EXP 	line4: autoDraw = True
48.7320 	INFO 	Keyboard events cleared
48.7308 	EXP 	probe: autoDraw = True
49.3485 	EXP 	New trial (rep=4, index=0): <Trial 16 (0 in rep 4) data={'pos': -50, 'corr_resp': 'x', 'thisN': 16, 'thisTrialN': 0, 'thisRepN': 4}>
49.3504 	DATA 	Keypress: z
49.3635 	EXP 	fixation: autoDraw = False
49.3635 	EXP 	line1: autoDraw = False
49.3635 	EXP 	line2: autoDraw = False
49.3635 	EXP 	line3: autoDraw = False
49.3635 	EXP 	line4: autoDraw = False
49.3635 	EXP 	probe: autoDraw = False
49.3635 	EXP 	fixation: autoDraw = True
50.3635 	EXP 	fixation: autoDraw = False
50.3635 	EXP 	line1: autoDraw = True
50.3635 	EXP 	line2: autoDraw = True
50.3635 	EXP 	line3: autoDraw = True
50.3635 	EXP 	line4: autoDraw = True
51.3640 	INFO 	Keyboard events cleared
51.3634 	EXP 	probe: autoDraw = True
52.1324 	EXP 	New trial (rep=4, index=1): <Trial 17 (1 in rep 4) data={'pos': 150, 'corr_resp': 'v', 'thisN': 17, 'thisTrialN': 1, 'thisRepN': 4}>
52.1346 	DATA 	Keypress: x
52.1474 	EXP 	fixation: autoDraw = False
52.1474 	EXP 	line1: autoDraw = False
52.1474 	EXP 	line2: autoDraw = False
52.1474 	EXP 	line3: autoDraw = False
52.1474 	EXP 	line4: autoDraw = False
52.1474 	EXP 	probe: autoDraw = False
52.1474 	EXP 	fixation: autoDraw = True
53.1468 	EXP 	fixation: autoDraw = False
53.1468 	EXP 	line1: autoDraw = True
53.1468 	EXP 	line2: autoDraw = True
53.1468 	EXP 	line3: autoDraw = True
53.1468 	EXP 	line4: autoDraw = True
54.1479 	INFO 	Keyboard events cleared
54.1471 	EXP 	probe: autoDraw = True
55.0154 	EXP 	New trial (rep=4, index=2): <Trial 18 (2 in rep 4) data={'pos': 50, 'corr_resp': 'c', 'thisN': 18, 'thisTrialN': 2, 'thisRepN': 4}>
55.0172 	DATA 	Keypress: v
55.0304 	EXP 	fixation: autoDraw = False
55.0304 	EXP 	line1: autoDraw = False
55.0304 	EXP 	line2: autoDraw = False
55.0304 	EXP 	line3: autoDraw = False
55.0304 	EXP 	line4: autoDraw = False
55.0304 	EXP 	probe: autoDraw = False
55.0304 	EXP 	fixation: autoDraw = True
56.0308 	EXP 	fixation: autoDraw = False
56.0308 	EXP 	line1: autoDraw = True
56.0308 	EXP 	line2: autoDraw = True
56.0308 	EXP 	line3: autoDraw = True
56.0308 	EXP 	line4: autoDraw = True
57.0309 	INFO 	Keyboard events cleared
57.0301 	EXP 	probe: autoDraw = True
57.9823 	DATA 	Keypress: c
57.9986 	EXP 	New trial (rep=4, index=3): <Trial 19 (3 in rep 4) data={'pos': -150, 'corr_resp': 'z', 'thisN': 19, 'thisTrialN': 3, 'thisRepN': 4}>
58.0131 	EXP 	fixation: autoDraw = False
58.0131 	EXP 	line1: autoDraw = False
58.0131 	EXP 	line2: autoDraw = False
58.0131 	EXP 	line3: autoDraw = False
58.0131 	EXP 	line4: autoDraw = False
58.0131 	EXP 	probe: autoDraw = False
58.0131 	EXP 	fixation: autoDraw = True
59.0134 	EXP 	fixation: autoDraw = False
59.0134 	EXP 	line1: autoDraw = True
59.0134 	EXP 	line2: autoDraw = True
59.0134 	EXP 	line3: autoDraw = True
59.0134 	EXP 	line4: autoDraw = True
60.0138 	INFO 	Keyboard events cleared
60.0131 	EXP 	probe: autoDraw = True
60.9316 	EXP 	New trial (rep=5, index=0): <Trial 20 (0 in rep 5) data={'pos': -50, 'corr_resp': 'x', 'thisN': 20, 'thisTrialN': 0, 'thisRepN': 5}>
60.9335 	DATA 	Keypress: z
60.9466 	EXP 	fixation: autoDraw = False
60.9466 	EXP 	line1: autoDraw = False
60.9466 	EXP 	line2: autoDraw = False
60.9466 	EXP 	line3: autoDraw = False
60.9466 	EXP 	line4: autoDraw = False
60.9466 	EXP 	probe: autoDraw = False
60.9466 	EXP 	fixation: autoDraw = True
61.9468 	EXP 	fixation: autoDraw = False
61.9468 	EXP 	line1: autoDraw = True
61.9468 	EXP 	line2: autoDraw = True
61.9468 	EXP 	line3: autoDraw = True
61.9468 	EXP 	line4: autoDraw = True
